"parameter","cat1","cat2","p"
"asc_cmax","894.57 (725.164 - 1014.238)","675.115 (651.303 - 861.697)","44.914 (32.287 - 58.639)"
"asc_tmax","30 (30 - 30)","90 (90 - 90)","60 (0 - 165)"
"asc_auc","1.538 (1.162 - 1.634)","1.26 (1.23 - 1.516)","0.117 (0.084 - 0.134)"
"asc_auc_30_90","0.703 (0.533 - 0.766)","0.524 (0.492 - 0.665)","0.038 (0.027 - 0.049)"
"asc_c_mean_30_90","717.81 (550.437 - 788.62)","517.61 (492.55 - 661.899)","38.129 (26.852 - 49.505)"
"asc_ke","0.632 (0.591 - 0.677)","0.613 (0.583 - 0.676)","NA (NA - NA)"
"asc_t12","1.098 (1.024 - 1.173)","1.131 (1.028 - 1.19)","NA (NA - NA)"
"asc_Cl","9.169 (8.596 - 12.301)","10.134 (8.508 - 10.383)","0 (0 - 0)"
"asc_V","16.853 (13.579 - 20.498)","16.267 (12.283 - 18.365)","NA (NA - NA)"
"nac_cmax","608.307 (515.723 - 630.091)","760.255 (752.681 - 767.828)","0 (0 - 0)"
"nac_tmax","30 (30 - 30)","90 (90 - 90)","0 (0 - 0)"
"nac_auc","0.848 (0.617 - 0.942)","1.601 (1.517 - 1.71)","0 (0 - 0)"
"nac_auc_30_90","0.415 (0.287 - 0.462)","0.682 (0.663 - 0.731)","0 (0 - 0)"
"nac_c_mean_30_90","429.289 (302.668 - 473.051)","680.776 (657.184 - 720.101)","0 (0 - 0)"
"nac_ke","0.457 (0.353 - 0.558)","0.387 (0.372 - 0.409)","NA (NA - NA)"
"nac_t12","1.528 (1.247 - 1.987)","1.793 (1.697 - 1.865)","NA (NA - NA)"
"nac_Cl","14.477 (13.026 - 20.388)","15.318 (14.339 - 16.165)","NA (NA - NA)"
"nac_V","34.642 (20.159 - 49.222)","39.906 (36.713 - 42.914)","NA (NA - NA)"
"dfo_cmax","7.555 (5.795 - 7.823)","3.794 (3.319 - 5.228)","0 (0 - 0)"
"dfo_tmax","30 (30 - 30)","60 (60 - 60)","0 (0 - 0)"
"dfo_auc","0.007 (0.006 - 0.007)","0.005 (0.004 - 0.005)","0 (0 - 0)"
"dfo_auc_30_90","0.004 (0.004 - 0.004)","0.003 (0.002 - 0.004)","0 (0 - 0)"
"dfo_c_mean_30_90","4.043 (3.652 - 4.201)","2.657 (1.952 - 3.509)","0 (0 - 0)"
"dfo_ke","1.444 (1.149 - 3.859)","2.256 (1.105 - 6.508)","NA (NA - NA)"
"dfo_t12","0.49 (0.218 - 0.604)","0.359 (0.124 - 0.64)","NA (NA - NA)"
"dfo_Cl","259.891 (254.677 - 291.949)","592.679 (525.751 - 798.679)","NA (NA - NA)"
"dfo_V","183.001 (87.719 - 398.329)","393.037 (94.455 - 812.946)","NA (NA - NA)"
